Context.php?Start=115055377&End=115055379	compagnia a compagnia	Da 	compagnia a compagnia	 le condizioni possono variare sensibilmente.
Context.php?Start=50856994&End=50856996	faccia a faccia	Non si era ancora trovato 	faccia a faccia	 con il campione, Dexter il Distruttore, dalle mani dispensatrici di Morte, inmezzoall'oscuro ululare del vento... quello era il mio territorio, e lui non vi aveva ancora messo piede.
Context.php?Start=51073811&End=51073813	faccia a faccia	Per il momento sembra che la cosa più importante per lei sia incontrarti 	faccia a faccia	.
Context.php?Start=51246716&End=51246718	faccia a faccia	Ma ritrovarsi 	faccia a faccia	 con Ushikawa nel corridoio sarebbe stato piuttosto imbarazzante.
Context.php?Start=51292144&End=51292146	faccia a faccia	Adesso era 	faccia a faccia	 con Aomame.
Context.php?Start=51339999&End=51340001	faccia a faccia	Ma è arrivato il momento di incontrarsi 	faccia a faccia	 per discutere seriamente di alcuni problemi.
Context.php?Start=51383354&End=51383356	faccia a faccia	Poi Tengo aveva smesso quasi completamente di avvicinarsi a casa sua, e se ci tornava per qualche ragione, evitava il più possibile di trovarsi 	faccia a faccia	 col padre.
Context.php?Start=51410854&End=51410856	faccia a faccia	Se la missione fosse andata alla perfezione, il Little Bird sarebbe atterrato sul tetto e saremmo entrati dalla porta del secondo piano, solo per ritrovarci 	faccia a faccia	 con almeno quattro ribelli pesantemente armati.
Context.php?Start=51539866&End=51539868	faccia a faccia	Perché le città sono il motore dell'innovazione Nonostante i vantaggi della comunicazione online, la circolazione migliore delle informazioni e l'adozione di nuove idee efficaci dipende anzitutto dalla facilità con cui si creano molti legami sociali"	faccia a faccia	".
Context.php?Start=51540237&End=51540239	faccia a faccia	In particolare, la ricerca indica che, malgrado le attuali tecnologie rendano estremamente facile e conveniente comunicare e collaborare a distanza, la possibilità dell'incontro fisico, 	faccia a faccia	, tra le persone ha un ruolo di primaria importanza.
Context.php?Start=52175851&End=52175853	faccia a faccia	Il Medioevo invece, fedele all'avvertimento paolino, sa che primadi vedere la verità 	faccia a faccia	, videmus per speculum et in aenigmate, e gli enigmi, sindai tempi della SÃ´"Â § nge, vanno risolti.
Context.php?Start=52428010&End=52428012	faccia a faccia	Molti genitori si impegnano anche in «dialoghi» non verbali, 	faccia a faccia	, con i bambini, con espressioni del viso alle quali il bimbo risponde.
Context.php?Start=52584993&End=52584995	faccia a faccia	In pratica, secondo alcuni il telelavoro avrebbe reso inutile gli incontri d'affari 	faccia a faccia	, facendo di fatto scomparire i pendolari.
Context.php?Start=52585499&End=52585501	faccia a faccia	Oggi è sicuramente più facile scambiare informazioni attraverso la rete, con webcam e microfono, tuttavia la maggior parte delle persone mostra una certa riluttanza ad essere filmata, e preferisce incontrarsi 	faccia a faccia	.
Context.php?Start=52585899&End=52585901	faccia a faccia	Anche i nostri antenati hanno sempre apprezzato gli incontri 	faccia a faccia	.
Context.php?Start=52585960&End=52585962	faccia a faccia	Peraltro, in un colloquio 	faccia a faccia	 è possibile leggere il linguaggio del corpo e ottenere preziose informazioni inconsce.
Context.php?Start=52593806&End=52593808	faccia a faccia	Si temeva che il nuovo apparecchio potesse sostituire gradualmente il contatto diretto, il 	faccia a faccia	 tra le persone.
Context.php?Start=52746039&End=52746041	faccia a faccia	Nella nostra società tali"	faccia a faccia	 Â prendono vita informadi democrazia.
Context.php?Start=54597089&End=54597091	faccia a faccia	Il menu sarà chiaro solo dopo i 	faccia a faccia	 a cui, oltre il direttore generale, Cesare Vaciago, parteciperà anche l'assessore al Bilancio, Gianguido Passoni.
Context.php?Start=54783939&End=54783941	faccia a faccia	* Alenia, Fornero accetta l'invito andrÃ a parlare in fabbrica * POTREBBE avvenire a Torino, nella città del ministro del Lavoro, il primo 	faccia a faccia	 tra Elsa Fornero e i lavoratori sull'articolo 18.
Context.php?Start=54784443&End=54784445	faccia a faccia	Il ministro Fornero aveva dichiarato di essere stata"sconsigliata"dai 	faccia a faccia	 coi lavoratori, noi pensiamo inveceche non ci sia alcuna ragione per evitarlo, e che sia sufficiente la disponibilità a ascoltarsi reciprocamente».
Context.php?Start=54787938&End=54787940	faccia a faccia	* Il drammatico 	faccia a faccia	 col padre"ti =""ho =""dato ="* MILANO - «Ti ho dato un'occasione, e l'hai buttata nel cesso.
Context.php?Start=54851600&End=54851602	faccia a faccia	Primadi pronunciarsi, però, vorrebbe avere un 	faccia a faccia	 con il leader dei riformisti.
Context.php?Start=54871850&End=54871852	faccia a faccia	Così, oggi ecco che Berlusconi torna a prendersi la scena, chiamato ad un 	faccia a faccia	 da Monti, insiemead Alfano e Gianni Letta.
Context.php?Start=54898276&End=54898278	faccia a faccia	Dura ben più del previsto il 	faccia a faccia	 (con pranzo) col presidente russo in una caldissima Soci, raggiunta con volo di Stato dal presidente del Consiglio dopo aver incontrato in mattinata a Mosca il premier Medvedev.
Context.php?Start=54905300&End=54905302	faccia a faccia	Il leader dell'Udc e il sindaco di Palermo si sono visti nel pomeriggio: un 	faccia a faccia	 riservato, una conversazione che ha riguardato anche le elezioni siciliane.
Context.php?Start=55001104&End=55001106	faccia a faccia	Con questi pesanti quesiti sul tavolo, il capo dello Stato ha deciso di convocare in udienza il Cavaliere (il 	faccia a faccia	 si potrebbe tenere oggi stesso, l'agenda di Berlusconi lo segnava per questa mattina), sperando di trovare una smentita alle roboanti dichiarazioni rilasciate sabato a villa Gernetto.
Context.php?Start=55140181&End=55140183	faccia a faccia	Un 	faccia a faccia	 tra i tanti, protrattosi nel primo pomeriggio, e che ha fatto circolare con insistenza voci su un possibile spiraglio.
Context.php?Start=55355398&End=55355400	faccia a faccia	Si parte stasera in via Andreini 6 con il giro dei circoli, e già domani è previsto il primo 	faccia a faccia	 con lo sfidante Luigi Tosiani, candidato a sorpresa con l'appoggio dell'area legata a Gianluca Benamati e di una parte di ex Ds.
Context.php?Start=55355666&End=55355668	faccia a faccia	Parole severe, dapartedi Donini, che comunque assicura di voler aprire le porte al dibattito: «Ho modificato la mia agenda per poter fare dei 	faccia a faccia	 con Tosiani, e ho accettato le sue firme anchese alcuni di quelli che hanno firmato per lui non hanno ancora rinnovato la tessera per il 2013.
Context.php?Start=55540138&End=55540140	faccia a faccia	Ma un uomo ha paura quando si trova 	faccia a faccia	 con se stesso.
Context.php?Start=55799738&End=55799740	faccia a faccia	In qualche caso può essere utile una spiegazione 	faccia a faccia	 o può essere lo stesso cliente a preferire un confronto di persona (non siamo tutti uguali!
Context.php?Start=55800120&End=55800122	faccia a faccia	Arrivati nel negozio o in filiale per l'ultimo passaggio, un totem con cui mettersi in coda e prendere il numero diventa uno schermo intelligente dove specificare la propria identità, ad esempio con un codice a barre (QRCode) ricevuto in precedenza, e avvertire quindi automaticamente l'operatore in ufficio di chi è arrivato, per cosa e ache punto della pratica, così da rendere l'esperienza 	faccia a faccia	 più efficiente e proficua per tutti.
Context.php?Start=56803456&End=56803458	faccia a faccia	) All'età di 51 anni e dopo 20 mesi di disoccupazione, Thierry inizia un nuovo lavoro che lo porta presto 	faccia a faccia	 con un dilemma morale.
Context.php?Start=57037944&End=57037946	faccia a faccia	Sfuggì così al 	faccia a faccia	 con l'arcivescovo di Buenos Aires, che si apprestava a esporre un'altra cruda lettura della realtà della sua amministrazione.
Context.php?Start=57041400&End=57041402	faccia a faccia	Il telefono è utile per cominciare un dialogo, ma per parlare davvero non c'è niente di meglio che trovarsi 	faccia a faccia	.
Context.php?Start=57046438&End=57046440	faccia a faccia	Da allora quella medaglia ha accompagnato sempre Susana, persino durante il processo in cui si trovò 	faccia a faccia	 con le persone accusate di aver sequestrato sua figlia e di averla costretta a prostituirsi.
Context.php?Start=57101845&End=57101847	faccia a faccia	L'insegnante dovrebbe essere"l'uomo del 	faccia a faccia	 Â.
Context.php?Start=58218308&End=58218310	faccia a faccia	» Cominciarono a sfilare via tutti quanti, la prima a uscire fu Gina, giusto per trovarsi 	faccia a faccia	 con Deborah, e sussurrarle: «Grazie».
Context.php?Start=58992167&End=58992169	faccia a faccia	Fece la strada per la spiaggia scortata dal maremmano, che dietro una macchina si trovò 	faccia a faccia	 con un gatto nero.
Context.php?Start=59136618&End=59136620	faccia a faccia	Ripensò al 	faccia a faccia	 col direttore tecnico dell'Arpa.
Context.php?Start=59618111&End=59618113	faccia a faccia	Quei giovani erano diventati Â giovanissimi Â capi carismatici, adorati dai seguaci di ambo i sessi, che potevano trattare 	faccia a faccia	 (e magari a pesci in faccia) coi Grandi Vecchi dell'epoca.
Context.php?Start=59631097&End=59631099	faccia a faccia	Per esempio cambia la stessa dinamica dell'interazione 	faccia a faccia	 tra Tizio e Caio, che non è più un rapporto a due, perché il colloquio può essere interrotto da un'inserzione cellulare di Sempronio, e tra Tizio e Caio l'interazione si sviluppa soltanto a singhiozzo, o si blocca.
Context.php?Start=59633538&End=59633540	faccia a faccia	So benissimo che sulla sindrome da telefonino sono ormai state scritte decine di libri e non vi sarebbe più nulla da aggiungere ma, se riflettiamo un momento, parrebbe inspiegabile il fatto che quasi tutta l'umanità sia stata presa dalla stessa frenesia e non abbia più rapporti 	faccia a faccia	, non guardi il paesaggio, non rifletta sulla vita e sulla morte, bensì parli ossessivamente, quasi sempre senza avere nulla di urgente da dire, consumando la propria vita in un dialogo tra non vedenti.
Context.php?Start=59675562&End=59675564	faccia a faccia	Poi Lucia vede la luce divina come in uno specchio: qui il suggerimento non viene dall'Apocalisse, ma dalla prima epistola di san Paolo ai Corinzi (le cose celesti le vediamo ora per speculum e solo dopo le vedremo 	faccia a faccia	).
Context.php?Start=59831488&End=59831490	faccia a faccia	Marbod era un uomo molto robusto, con uno sguardo penetrante e Arminius lo incontrava per la prima volta 	faccia a faccia	.
Context.php?Start=60195696&End=60195698	faccia a faccia	Parlò 	faccia a faccia	 con Matilde, dice Donizone che assicura che conosceva il francese (d Â oÃ¯l, probabilmente), il tedesco, il latino.
Context.php?Start=60574982&End=60574984	faccia a faccia	Ma ciò che è assolutamente fondamentale nel discorso platonico sta altrove: nel porre il philosopheÃ®n 	faccia a faccia	, ai ferri corti, con il thaÃ»ma che continuamente assilla l Â esistenza e che sembra non trovare risposta, il massimamente Fragwürdiges per il mortale, per quell Â esserci, cioè, che si definisce proprio per la sua morte.
Context.php?Start=61038008&End=61038010	faccia a faccia	Nel rifiuto della"totalizzazione Â come negazione dell Â altro, Emmanuel Lévinas ha riscoperto, nel corso di un lungo tragitto filosofico che va dalla fenomenologia all Â ermeneutica, la dimensione più autentica del discorso etico, un progetto di lettura del mondo che riguarda anche il compito del critico: «Dobbiamo per l Â appunto a Lévinas il pensiero più vigoroso di un pluralismo che resiste a ogni"totalizzazione Â proprio per fondarsi sulla asimmetria della relazione etica, sul"	faccia a faccia	 Â che"vuota l Â io del suo imperialismo e del suo egoismo Â ridestandolo alla trascendenza di una soggettività nuda ed inerme, allastreguadi un"ostaggio Â: proprio come il testo in Péguy.
Context.php?Start=62315233&End=62315235	faccia a faccia	Con Rajoy si sono visti due volte alla Moncloa, ma mai pubblicamente, vistoche il premier rifiuta i 	faccia a faccia	 elettorali.
Context.php?Start=62535545&End=62535547	faccia a faccia	Si noti inoltre che, chiamati a confrontare mutuamente le loro ricostruzioni, i ragazzi saranno anche sfuggiti alla condanna della solitudine, e avranno ritrovato il gusto del confronto 	faccia a faccia	.
Context.php?Start=62906616&End=62906618	faccia a faccia	All'interno di questa cooperativa agricola (con persone dai quattro a settantatré anni) nota in tutta Europa sindagli anni Settanta, si sono ritrovati 	faccia a faccia	 chi ha scelto uno stile di vita alternativo.
Context.php?Start=63293901&End=63293903	faccia a faccia	Suo il compito di introdurre gli argomenti, contestualizzarli, e poi rilanciarli nei 	faccia a faccia	 con gli ospiti della trasmissione.
Context.php?Start=63306386&End=63306388	faccia a faccia	Il 	faccia a faccia	 tra premier ed ex premier sarà domani, forse a pranzo a Palazzo Chigi fanno sapere fonti azzurre, rimarcando come, finoall'ultimo, l'ex Cavaliere non avesse dato il sì ufficiale alla propria presenza al Nazareno, a poco più di un anno dal meeting che segnò la nascita dell'omonimo patto.
Context.php?Start=63307504&End=63307506	faccia a faccia	In ogni caso, domani alle 13, dopo una nuova tornata di incontri tra cui un secondo 	faccia a faccia	 col Cavaliere, Renzi vedrà i Grandi elettori del Pd al completo.
Context.php?Start=63321312&End=63321314	faccia a faccia	Il dinosauro di nusco «Quando abbiamo saputo del 	faccia a faccia	 Renzi - De Mita, chez Mentana, il primo istinto è stato quello di organizzare il sequestro di persona per rinchiudere l'anziano leader democristiano in un covo dotato di tutti i comfort, ma ben sorvegliato per impedire la fuga dell'ostaggio finoal cinque dicembre mattina».
Context.php?Start=63362268&End=63362270	faccia a faccia	Esempi a iosa, dei suoi diktat o"regolette"memorizzati da autori e giornalisti: «pollaio mai», «niente contraddittorio», «per i big solo 	faccia a faccia	», fuori gli altri ospiti, in studio ce ne possono essere «massimo tre», «massimo quattro»; il Cinque stelle deve essere l'unico di opposizione; e comunque per i politici, come per i giornalisti, vi è una black list di indegni (per esempio personaggi come Daniela Santanché e Maurizio Gasparri sono vietatissimi).
Context.php?Start=63508291&End=63508293	faccia a faccia	Ospite della puntata di Ballarò, il ministro per le riforme Maria Elena Boschi è stata protagonista del 	faccia a faccia	 con Giannini.
Context.php?Start=63725304&End=63725306	faccia a faccia	Il secondo è la titubanza dell'ex Cavaliere difrontealle modifiche all'Italicum propostegli da Renzi nell'ultimo e deludente 	faccia a faccia	.
Context.php?Start=63894932&End=63894934	faccia a faccia	Il secondo è la titubanza dell'ex Cavaliere difrontealle modifiche all'Italicum propostegli da Renzi nell'ultimo e deludente 	faccia a faccia	.
Context.php?Start=63909274&End=63909276	faccia a faccia	* * * * * * Renzi e Fassina in ospedale ma evitano il 	faccia a faccia	 * * * * * * Venti minuti, o giù di lì.
Context.php?Start=63909301&End=63909303	faccia a faccia	Venti minuti forse calcolati con precisione, per evitare un 	faccia a faccia	 imbarazzante che nessuno dei diretti interessati pare voler affrontare.
Context.php?Start=63941366&End=63941368	faccia a faccia	O magari a un 	faccia a faccia	 in tribuna con la Merkel primadi una sfida europea: «Ehi Angela, abbiamo risollevato il nostro pallone quattro volte campione del mondo.
Context.php?Start=64017596&End=64017598	faccia a faccia	Al termine del 	faccia a faccia	 con Angela Merkel, il primo ministro francese prova invece a tenere insieme l'esigenza di trasmettere ai tedeschi l'immagine di un Paese intenzionato a fare le riforme con quello di non far sembrare l'appuntamento di Berlino un'andata a Canossa.
Context.php?Start=64035770&End=64035772	faccia a faccia	La firma sul 	faccia a faccia	 capitolino la mette Pjanic: cinque tocchi, tre avversari saltati come birilli e il bosniaco entra di diritto nell'élite degli artisti del gol.
Context.php?Start=64050558&End=64050560	faccia a faccia	Insomma, un tripudio di musica e immagini affascinanti del viaggio di 1600 chilometri, lungo il Pacific Crest Trail, tra Messico e Canada, compiuto dalla protagonista Cheryl Strayed, completamente sola, 	faccia a faccia	 con la natura più selvaggia.
Context.php?Start=64055986&End=64055988	faccia a faccia	* * * * * * Berlusconi non ricuce E Bonaiuti diventa lo stratega di Alfano * * * * * * UGO MAGRI Lo strappo finale si è consumato ieri con rammarico (e reciproca delusione) di entrambi, 	faccia a faccia	 nel villone di Arcore.
Context.php?Start=64083311&End=64083313	faccia a faccia	Sulla legge elettorale, non a caso, c'è stato un avvicinamento che ha portato di nuovo a un 	faccia a faccia	 in streaming, poi seguito da una rottura.
Context.php?Start=64207817&End=64207819	faccia a faccia	Era stato convocato dalla Samp domenica mattina e la sua presenza in Italia serviva per mettersi a tavolino con il vertice del club blucerchiato e una volta 	faccia a faccia	 entrare nel dettaglio dei discorsi fatti nei giorni scorsi solo per telefono.
Context.php?Start=64390795&End=64390797	faccia a faccia	Lo scrive il New York Times facendo riferimento al 	faccia a faccia	 tra Yanis Varoufakis, il ministro greco delle Finanze, e Lee C.
Context.php?Start=64479174&End=64479176	faccia a faccia	Sulle rive del Mar Nero, a Sochi, avrà un 	faccia a faccia	 col presidente Vladimir Putin.
Context.php?Start=64639590&End=64639592	faccia a faccia	A innescare la rissa è Mancini che si arrabbia con il quarto uomo per i 5'di recupero e poi arriva al 	faccia a faccia	 con Sarri.
Context.php?Start=64778536&End=64778538	faccia a faccia	Stranamente silenzioso è invece rimasto Caltagirone jr, figlio di Francesco Gaetano e principale azionista di minoranza, a conferma del gentlemen agreementraggiunto nel 	faccia a faccia	 della scorsa settimana con l'inquilino di Palazzo Senatorio.
Context.php?Start=64830137&End=64830139	faccia a faccia	Di certo si sa che non sono previste riunioni del consiglio di amministrazione a breve, e che la partita da ieri è stretta nelle mani dei due giocatori principali: Gabriele Del Torchio e James Hogan, i due numeri uno, potrebbero incontrarsi a Abu Dhabi già nelle prossime ore per un 	faccia a faccia	 decisivo per il futuro dell'alleanza.
Context.php?Start=65009439&End=65009441	faccia a faccia	Acominciareda quello che inaugura la rassegna:"Con il mare facevamo il pane"di Valeria Raimondi ed Enrico Castellani è un 	faccia a faccia	 con uno spettatore alla volta, il tentativo di raccontare Taranto attraverso i suoi suoni (alle 17 nella chiesa di Sant'Andrea degli Armeni, ingresso libero; in replica per quattro giorni).
Context.php?Start=65067902&End=65067904	faccia a faccia	Inoltre la presenza dei capi di stato o di governo fornisce l'occasione di mettere in calendario una serie di incontri bilaterali o multilaterali per cercare di risolvere conflitti più o meno latenti tra paesi membri: nelcaso di Milano, basti pensare ai 	faccia a faccia	 che vi sono stati tra gli esponenti russi e quelli ucraini.
Context.php?Start=65183497&End=65183499	faccia a faccia	Ma una volta fuori, Giustina Copertino, 29 anni, si è ritrovata 	faccia a faccia	 con l'ex marito, Salvatore Varavallo, di 35 anni, muratore, dal quale si era separata ormai da un anno.
Context.php?Start=65238119&End=65238121	faccia a faccia	L'ultima conferma che sarebbero in corso le grandi pulizie, salta fuori l'altra sera alla fine del 	faccia a faccia	 tra Berlusconi e Schittulli in quel di Palazzo Grazioli.
Context.php?Start=65289813&End=65289815	faccia a faccia	Il ministro della finanze del Partenone, che ieri ha avuto un 	faccia a faccia	 con Wolfgang Schaeuble, è certo di «un compromesso entro poche settimane».
Context.php?Start=65334230&End=65334232	faccia a faccia	Da Pontida, dove si trova per il tadizionale raduno leghista, il leader del Carroccio precisa a poche ore dal 	faccia a faccia	 con l'ex Cavaliere, che ipotizza un nome della società civile: «Il candidato ideale è una persona che a Milano e sia presente.
Context.php?Start=65474952&End=65474954	faccia a faccia	La bagarre va avanti finoa tarda sera, i consiglieri comunali del Movimento 5 Stelle affrontano la protesta e si scontrano in un durissimo 	faccia a faccia	.
Context.php?Start=65719495&End=65719497	faccia a faccia	È dunque al Pipita che si rivolgerà il presidente, se e quando i due si troveranno 	faccia a faccia	.
Context.php?Start=65853183&End=65853185	faccia a faccia	In realtà, il 	faccia a faccia	 tra i numeri uno di Ryanair e Alitalia ieri a Roma c'è stato, eccome.
Context.php?Start=65998214&End=65998216	faccia a faccia	Quella fredda notte in Crimea ci vide 	faccia a faccia	 dietroalle nostre spade.
Context.php?Start=65998276&End=65998278	faccia a faccia	Siamo 	faccia a faccia	 ancora per l'eternità con i nostri destini ormai immutabili.
Context.php?Start=66187041&End=66187043	faccia a faccia	Mi ha preceduto e a me non resta alternativa che seguirlo in questo ultimo 	faccia a faccia	 con la Verità.
Context.php?Start=67159189&End=67159191	faccia a faccia	"Strappa'sti biglietti", m'intimò,"se vedo quel minchione 	faccia a faccia	 gli tiro una scarpa in testa".
Context.php?Start=67209782&End=67209784	faccia a faccia	Ma questa regola del non fumare a casa del nonno superava ampiamente i limiti del consentito, aveva una veste de sacralità, come per il prete trovarsi a 	faccia a faccia	 con il demonio, quindi il trasgredirla per me andava aldilàdi una perfida gratificazione, anche quando venivo punito con la cinghia.
Context.php?Start=67214092&End=67214094	faccia a faccia	La sospinse timoroso, battendo leggermente con le nocche, e si trovo'	faccia a faccia	 con lei, la ragazza dal vestito di seta.
Context.php?Start=67772036&End=67772038	faccia a faccia	Scoperto difronteal proprio nemico, 	faccia a faccia	, corpo a corpo, il nostro scrittore si apprestava a scrivere un'altra pagina del suo romanzo, quello della vita.
Context.php?Start=68332491&End=68332493	faccia a faccia	Meg Conti si trovò 	faccia a faccia	 con Monique: si riconobbero ed ebbero paura per quel passato comune e stupore di ritrovarsi in vita, poi all'improvviso videro intorno le ragazze che arrivavano allo stesso punto come guidati al centro dai raggi di un cerchio.
Context.php?Start=68564599&End=68564601	faccia a faccia	Ma videmus nunc per speculum et in aenigmate e la verità, primache 	faccia a faccia	, si manifesta a tratti (ahi, quanto illeggibili) nell'errore del mondo, cosìche dobbiamo compitarne i fedeli segnacoli, anche là dove ci appaiono oscuri e quasi intessuti di una volontà del tutto intesa al male.
Context.php?Start=68689099&End=68689101	faccia a faccia	Lo udii descrivere anni dopo, come apparve nel concistoro del dicembre 1334, più piccolo di quanto fosse mai apparso sinoad allora, rinsecchito dall'età, novantenne e moribondo, pallido in viso, e avrebbe detto (la volpe, così abile nel giocare sulle parole non solo per violare i propri giuramenti ma anche per rinnegare le proprie ostinazioni):"Noi confessiamo e crediamo che le anime separate dal corpo e completamente purificate siano in cielo, in paradiso con gli angeli, e con Gesù Cristo, e che esse vedano Dio nella sua divina essenza, chiaramente e 	faccia a faccia	..."e poi con una pausa, nessuno seppe mai se dovuta alla difficoltà del respiro o alla volontà perversa di sottolineare l'ultima clausola come avversativa,"nellamisuraincui lo stato e la condizione dell'anima separata lo permetta.
Context.php?Start=68703256&End=68703258	faccia a faccia	- San Francesco potrebbe essere da qualche parte in attesa del giudizio, senza vedere il Signore 	faccia a faccia	.
Context.php?Start=68978461&End=68978463	faccia a faccia	La gente ha paura di chi ci pone 	faccia a faccia	 con la Legge.
Context.php?Start=69204690&End=69204692	faccia a faccia	Tra poco si incontrerà 	faccia a faccia	 con la Morte cioè con la Vita.
Context.php?Start=69794433&End=69794435	faccia a faccia	Quando finalmente i due schieramenti furono 	faccia a faccia	, Marzio prese per la manica Zanarda e lo trascinò con sé verso lo schieramento avversario, lanciando una sorta di urlo guerresco che ricordo ancora oggi.
Context.php?Start=70294767&End=70294769	faccia a faccia	Nonappena rimanemmo 	faccia a faccia	 ebbi una rivelazione.
Context.php?Start=70749278&End=70749280	faccia a faccia	«Dimmi la verità, Lazzaro, hai intenzione di combinare un 	faccia a faccia	 con la vergine?
Context.php?Start=70773786&End=70773788	faccia a faccia	Sono sempre stato forte nei 	faccia a faccia	.
Context.php?Start=71751998&End=71752000	faccia a faccia	Ti ho chiamata io, Anna: non puoi interrompere la comunicazione..."Anna è in camera, si lancia verso il cassettone dietro il quale ha nascosto la pistola..."... e d'altronde credo che non abbia più senso continuare a parlare sottovoce e..."... posa telefono e affilacoltelli sul ripiano del cassettone, e infila le mani tra il mobile e la parete..."... per telefono, orache possiamo parlare 	faccia a faccia	, no?
Context.php?Start=71878735&End=71878737	faccia a faccia	- - gridò, ma due braccia robuste la girarono e, con sua grande sorpresa, si trovò 	faccia a faccia	 con Matteo.
Context.php?Start=72256610&End=72256612	faccia a faccia	''La risposta è quasi ovvia, ma il Cardinale è determinato, in questo secondo 	faccia a faccia	, a trovare il bandolo.
Context.php?Start=72522785&End=72522787	faccia a faccia	«Gionni Varen l'hanno ucciso a tradimento, si sosteneva altresì, non era tipo da soccombere in una lotta 	faccia a faccia	 con l'avversario».
Context.php?Start=72659557&End=72659559	faccia a faccia	Ero bloccato, e poi ho pensato che sarebbe stato meglio parlare 	faccia a faccia	.
Context.php?Start=72863773&End=72863775	faccia a faccia	Il Minotti trascinò Margot per un braccio, e lei gli cadde all'altro fianco, 	faccia a faccia	 con Giulio: «Vero, Margot?
Context.php?Start=73155955&End=73155957	faccia a faccia	Magari dicevano cose diversissime da quelle che ti sussurravano 	faccia a faccia	, ti criticavano, ti smontavano con le frecciatine, ma ti mettevano al centro dell'attenzione, giusto?
Context.php?Start=73274168&End=73274170	faccia a faccia	"Ho fatto centro senza volerlo: invecedi urlare o piangere, lei sgancia la catenella, m'introduce, chiude la porta e, in piedi, 	faccia a faccia	, come non aspettasse altro, si scatena:"Mio padre?
Context.php?Start=73610388&End=73610390	faccia a faccia	Siamo 	faccia a faccia	 a breve distanza, parte insistenti e parte legati di imbarazzo tutti e due, parte avanti e parte trattenuti, con Jeff - Giuseppe che fa da pubblico silenzioso e accentua la risonanza sorda di queste sensazioni.
Context.php?Start=74000141&End=74000143	faccia a faccia	O si erano guardati l'un l'altro, 	faccia a faccia	?
Context.php?Start=74021193&End=74021195	faccia a faccia	Raramente alla preda è dato trovarsi 	faccia a faccia	 con chi prepara le esche, se non boccheggiando.
Context.php?Start=74033225&End=74033227	faccia a faccia	E poi, 	faccia a faccia	.
Context.php?Start=74033231&End=74033233	faccia a faccia	Già, 	faccia a faccia	?
Context.php?Start=74786678&End=74786680	faccia a faccia	Questa morte mi offende come ha offeso lui perché ha privato entrambi di uno scontro leale, 	faccia a faccia	, che lasciasse un vincitore e un vinto e rendesse onore in ogni caso allo sfortunato valore del perdente.
Context.php?Start=74789637&End=74789639	faccia a faccia	Alessandro si fece avanti finoa trovarsi 	faccia a faccia	 con lei, abbastanza vicino da percepirne il delicato profumo di cassia e di nardo, da farsi avvolgere dal fascino che aveva ormai imparato a riconoscere nelle donne orientali.
Context.php?Start=74949599&End=74949601	faccia a faccia	Lo ha provocato 	faccia a faccia	, è andata a stanarlo negli abissi del cosmo, è tornata indietro nel tempo a spiarlo nell'attimo della Creazione.
Context.php?Start=75180274&End=75180276	faccia a faccia	La vigilia dell'esame di quinta Elisa era un po 'agitata all'idea di incontrarsi 	faccia a faccia	 con la maestra.
Context.php?Start=75232550&End=75232552	faccia a faccia	Era quella, da allora, la prima volta che si trovavano 	faccia a faccia	, e Morand, sotto l'espressione tranquilla, si sentiva inquieto.
Context.php?Start=75365450&End=75365452	faccia a faccia	Capita soltanto un giorno che, mentre sono in piazza della Signoria ad ascoltare un comizio di Di Vittorio, si trovino 	faccia a faccia	 con Guido.
Context.php?Start=75371304&End=75371306	faccia a faccia	"Giacobbe Lo aveva visto 	faccia a faccia	 - sta scritto proprio così - e, nientemeno, aveva fatto a botte con Lui per una notte intera.
Context.php?Start=75689585&End=75689587	faccia a faccia	Finalmente Miguel riuscì a togliersi di dosso la gente e a rimettersi in piedi, pronto ad affrontare quella nuova disgrazia 	faccia a faccia	.
Context.php?Start=75891212&End=75891214	faccia a faccia	E potrebbero essersi trovati a 	faccia a faccia	 durante l'ultima controffensiva tedesca.
Context.php?Start=76053320&End=76053322	faccia a faccia	Avrei potuto fare forse un'eccezione per qualcuno che si fosse trovato a 	faccia a faccia	 con qualche malattia orribile, mettiamo il cancro di Vernon o quell'incubo bastardo che aveva ammazzato il figlio di quell'uomo, ma attaccarsi alla canna del gas solo per una depressione?
Context.php?Start=76061084&End=76061086	faccia a faccia	Non bastavano le fogne, ci mancava pure l'immondizia delle baracche là sopra, la seconda: traversone da destra di Nicanor, mischia in area, colpi di testa in successione dei difensori del Bota e degli attaccanti del Ban, palla rimpallata e, nei canaletti scende tutta la sporcizia, nella metà sinistra dell'area, e ostruisce tutto, trabocca, entra nelle case, Maninho serve un pallone calibrato per la testa di Joo Jorge, che si trova 	faccia a faccia	 col portiere avversario, per questo i topi vivono come gli pare piace, inmezzoa tutto'sto schifo.
Context.php?Start=76073771&End=76073773	faccia a faccia	E quando sei 	faccia a faccia	 col portiere, insacchi là nell'angolino, liscio come l'olio.
Context.php?Start=76236024&End=76236026	faccia a faccia	Erano rimasti seduti, il più anziano senza togliersi il cappello, 	faccia a faccia	 sin quasi a sfiorarsi e, quasi per caso, scoprii che tenevano le mani allacciate sotto il tavolo.
