Context.php?Start=131468676&End=131468678	acero a acero	Immaginando di tradurre le tinte in suoni, si sentirebbe il gemito del popolo delle foreste, un'eco straziante che si propaga da 	acero a acero	, da quercia a quercia.
Context.php?Start=75028501&End=75028503	coffa a coffa	Forse stabilendo, come un sensale tra avvistamenti, che i due, opposti velieri immobilizzati dalle bonacce di un mare che è una tavola, possano, da 	coffa a coffa	 orientare verso l'altro il viso e, come un soffio, la nostalgia di un vento, sollevare la folata di uno sguardo tra galleggiamenti di bottiglie, meduse di bicchieri, riflessi di posate in cresta all'onda.
Context.php?Start=47317712&End=47317714	collega a collega	Pongo solo un dubbio deontologico, da 	collega a collega	.
Context.php?Start=73476399&End=73476401	collega a collega	Ne parlava da 	collega a collega	, senza assumere atteggiamenti da maestro ad allievo, e questo mi colpiva più di qualunque gesto di generosità, mi suscitava un vero calore di amicizia per lui.
Context.php?Start=122613105&End=122613107	collega a collega	A una sola condizione, da "	collega a collega	": "Non citarmi mai", si capisce.
Context.php?Start=46493095&End=46493097	collina a collina	Adesso qui, come in Borgogna, siamo concentrati su come il Barolo si esprima da 	collina a collina	, da vigna a vigna negli undici Comuni della zona».
Context.php?Start=102758212&End=102758214	collisione a collisione	A parità di peso atomico, il rapporto E1 E2 è compreso tra 1 e (1 + a) 2, anchese in realtà J varia statisticamente da 	collisione a collisione	.
Context.php?Start=73601979&End=73601981	colpo a colpo	Lui va avanti, martella e inchioda, sale e scende e sposta la scala e ci risale, chiude a 	colpo a colpo	 il muro esterno della casa che si è costruito.
Context.php?Start=23189583&End=23189585	coltura a coltura	Si è vistoche la colza GM è una coltura ad alto rischio perquanto riguarda il flusso di geni da 	coltura a coltura	, e il mais GM è una coltura a rischio medio - alto.
Context.php?Start=19137028&End=19137030	comme a comme	Le stanze dell'hotel La Sirene hanno pareti divisorie di carta velina, ti puoi anche svegliare a metà della notte per la rete di un letto altrui che scricchiola appassionatamente, la testiera che tiene il ritmo sbattendo sul muro dietro la tua nuca: per una mezz'ora va avanti il metronomo, è tutto un mugolare di 	comme a comme	 a, poi c'è una pausa ristoratrice, poi il comme a diventa un pas comme a non di rito e segue un urlo femminile - deve aver visto il diavolo in persona oppure, più probabile, è un filosofo da boudoir che gli è apparso (alle spalle però).
Context.php?Start=140421575&End=140421577	commento a commento	Volti tirati, ma è inutile aggiungere 	commento a commento	.
Context.php?Start=42067253&End=42067255	commissione a commissione	I attribuito punteggi quadri all'ispettore 	commissione a commissione	.
Context.php?Start=148854732&End=148854734	commissione a commissione	Da ultimo, quanto costa mandare i figli a questa o a quella scuola e fornire due dati sui risultati degli ultimi esami di maturità, anchese il metro di giudizio varia spesso da 	commissione a commissione	.
